fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-20.000	0.000	-739.500	5.9395581747e-05, -5.6663533644e-03, 1.7970246431e-04
-18.000	0.000	-739.500	4.2212165035e-05, -5.7125673397e-03, 1.8036335973e-04
-16.000	0.000	-739.500	2.7158062526e-05, -5.7545675514e-03, 1.8105572637e-04
-14.000	0.000	-739.500	1.1666557187e-05, -5.7914978754e-03, 1.8229606232e-04
-12.000	0.000	-739.500	-3.9049835638e-06, -5.8251708431e-03, 1.8144633963e-04
-10.000	0.000	-739.500	-1.9322037357e-05, -5.8529345132e-03, 1.8058365821e-04
-8.000	0.000	-739.500	-3.4508291360e-05, -5.8778735317e-03, 1.8013010252e-04
-6.000	0.000	-739.500	-4.9059845937e-05, -5.8985653586e-03, 1.7871945178e-04
-4.000	0.000	-739.500	-6.2608165937e-05, -5.9139588744e-03, 1.7704962637e-04
-2.000	0.000	-739.500	-7.5629741253e-05, -5.9260560348e-03, 1.7489662531e-04
0.000	0.000	-739.500	-8.8582448889e-05, -5.9328047423e-03, 1.7293985650e-04
2.000	0.000	-739.500	-1.0010754814e-04, -5.9352746875e-03, 1.7040920091e-04
4.000	0.000	-739.500	-1.1291507526e-04, -5.9338595761e-03, 1.6811365378e-04
6.000	0.000	-739.500	-1.2376452674e-04, -5.9282251296e-03, 1.6537380720e-04
8.000	0.000	-739.500	-1.3403884002e-04, -5.9180946399e-03, 1.6179349417e-04
10.000	0.000	-739.500	-1.4473938840e-04, -5.9039899526e-03, 1.5777628669e-04
12.000	0.000	-739.500	-1.5514213061e-04, -5.8846575241e-03, 1.5427002357e-04
14.000	0.000	-739.500	-1.6443740607e-04, -5.8613564693e-03, 1.5089519904e-04
16.000	0.000	-739.500	-1.7441019059e-04, -5.8344229236e-03, 1.4711680250e-04
18.000	0.000	-739.500	-1.8293675385e-04, -5.8042357358e-03, 1.4268306429e-04
20.000	0.000	-739.500	-1.9173878782e-04, -5.7693890799e-03, 1.3905091633e-04
22.000	0.000	-739.500	-2.0012389314e-04, -5.7306369391e-03, 1.3427469729e-04
24.000	0.000	-739.500	-2.0908972051e-04, -5.6891307165e-03, 1.2973543796e-04
26.000	0.000	-739.500	-2.1645297836e-04, -5.6442092840e-03, 1.2539241089e-04
28.000	0.000	-739.500	-2.2405261987e-04, -5.5952839402e-03, 1.2027926477e-04
30.000	0.000	-739.500	-2.3136190036e-04, -5.5432832360e-03, 1.1554932693e-04
32.000	0.000	-739.500	-2.3970605732e-04, -5.4886435903e-03, 1.1087122402e-04
34.000	0.000	-739.500	-2.4720705054e-04, -5.4309898687e-03, 1.0582102033e-04
36.000	0.000	-739.500	-2.5517708849e-04, -5.3708754872e-03, 1.0150576197e-04
38.000	0.000	-739.500	-2.6310617809e-04, -5.3083654446e-03, 9.6733245432e-05
40.000	0.000	-739.500	-2.7035217476e-04, -5.2427039005e-03, 9.1773752877e-05
42.000	0.000	-739.500	-2.7829987725e-04, -5.1748546906e-03, 8.6268142253e-05
44.000	0.000	-739.500	-2.8608378633e-04, -5.1051000943e-03, 8.1271624744e-05
46.000	0.000	-739.500	-2.9514081685e-04, -5.0342665220e-03, 7.6352859637e-05
48.000	0.000	-739.500	-3.0482510163e-04, -4.9610577167e-03, 7.1065696241e-05
50.000	0.000	-739.500	-3.1348567767e-04, -4.8853529666e-03, 6.5123191163e-05
-50.000	0.000	-737.500	3.2615174686e-04, -4.8851821133e-03, 1.2257481191e-04
-48.000	0.000	-737.500	3.0957883282e-04, -4.9817272584e-03, 1.2912267498e-04
-46.000	0.000	-737.500	2.9219998080e-04, -5.0772899967e-03, 1.3484488158e-04
-44.000	0.000	-737.500	2.7608866634e-04, -5.1699110859e-03, 1.4000616014e-04
-42.000	0.000	-737.500	2.5807883748e-04, -5.2599025192e-03, 1.4604863259e-04
-40.000	0.000	-737.500	2.4032772773e-04, -5.3479291389e-03, 1.5120065490e-04
-38.000	0.000	-737.500	2.2289489834e-04, -5.4329323970e-03, 1.5539928466e-04
-36.000	0.000	-737.500	2.0408843794e-04, -5.5150200055e-03, 1.5989966779e-04
-34.000	0.000	-737.500	1.8642480875e-04, -5.5943461038e-03, 1.6373730425e-04
-32.000	0.000	-737.500	1.6871836994e-04, -5.6701121382e-03, 1.6739351843e-04
-30.000	0.000	-737.500	1.5043120906e-04, -5.7428436684e-03, 1.7074612799e-04
-28.000	0.000	-737.500	1.3313611503e-04, -5.8114487188e-03, 1.7388954657e-04
-26.000	0.000	-737.500	1.1393133886e-04, -5.8767982698e-03, 1.7547051209e-04
-24.000	0.000	-737.500	9.6615770653e-05, -5.9378133455e-03, 1.7833994601e-04
-22.000	0.000	-737.500	7.8695283641e-05, -5.9960984818e-03, 1.7971357179e-04
-20.000	0.000	-737.500	6.1556537856e-05, -6.0487491716e-03, 1.8072065053e-04
-18.000	0.000	-737.500	4.4395456608e-05, -6.0985566386e-03, 1.8101314767e-04
-16.000	0.000	-737.500	2.7856045765e-05, -6.1435003564e-03, 1.8166478685e-04
-14.000	0.000	-737.500	1.2215637335e-05, -6.1834001861e-03, 1.8296251148e-04
-12.000	0.000	-737.500	-4.1227543345e-06, -6.2192441056e-03, 1.8173698551e-04
-10.000	0.000	-737.500	-1.9264337410e-05, -6.2494238650e-03, 1.8068917932e-04
-8.000	0.000	-737.500	-3.5213719754e-05, -6.2755087152e-03, 1.8021155742e-04
-6.000	0.000	-737.500	-4.9943958040e-05, -6.2975970826e-03, 1.7850840955e-04
-4.000	0.000	-737.500	-6.4530877101e-05, -6.3138950070e-03, 1.7648129333e-04
-2.000	0.000	-737.500	-7.7613874942e-05, -6.3267257225e-03, 1.7412465502e-04
0.000	0.000	-737.500	-9.0568443866e-05, -6.3336564260e-03, 1.7201053016e-04
2.000	0.000	-737.500	-1.0209912698e-04, -6.3361133715e-03, 1.6917256746e-04
4.000	0.000	-737.500	-1.1530310858e-04, -6.3342544127e-03, 1.6652343202e-04
6.000	0.000	-737.500	-1.2670350150e-04, -6.3277489855e-03, 1.6351145203e-04
8.000	0.000	-737.500	-1.3715091462e-04, -6.3159192478e-03, 1.5967751807e-04
10.000	0.000	-737.500	-1.4794452744e-04, -6.3002713090e-03, 1.5538817717e-04
12.000	0.000	-737.500	-1.5802898928e-04, -6.2790260658e-03, 1.5193930273e-04
14.000	0.000	-737.500	-1.6731868088e-04, -6.2532736368e-03, 1.4806834382e-04
