# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px py pz
-3.14160285860133e+01 +9.05674422558348e+00 +0.00000000000000e+00 -3.14159736594981e+01 +3.23884646577371e-03 +0.00000000000000e+00 +9.99994754923030e-01
-3.15160796324655e+01 +9.05641965960406e+00 +0.00000000000000e+00 -3.15160241795019e+01 +3.24916122719493e-03 +0.00000000000000e+00 +9.99994721461728e-01
-3.16161306789178e+01 +9.05609406162170e+00 +0.00000000000000e+00 -3.16160746961525e+01 +3.25947598827046e-03 +0.00000000000000e+00 +9.99994687894032e-01
-3.17161817253701e+01 +9.05576743163642e+00 +0.00000000000000e+00 -3.17161252094393e+01 +3.26979074899919e-03 +0.00000000000000e+00 +9.99994654219940e-01
-3.18162327718224e+01 +9.05543976964999e+00 +0.00000000000000e+00 -3.18161757193517e+01 +3.28010550938003e-03 +0.00000000000000e+00 +9.99994620439454e-01
-3.19162838182746e+01 +9.05511107565886e+00 +0.00000000000000e+00 -3.19162262258790e+01 +3.29042026941189e-03 +0.00000000000000e+00 +9.99994586552573e-01
-3.20163348647269e+01 +9.05478134966834e+00 +0.00000000000000e+00 -3.20162767290106e+01 +3.30073502909365e-03 +0.00000000000000e+00 +9.99994552559297e-01
-3.21163859111792e+01 +9.05445059167135e+00 +0.00000000000000e+00 -3.21163272287357e+01 +3.31104978842424e-03 +0.00000000000000e+00 +9.99994518459626e-01
-3.22164369576314e+01 +9.05411880167499e+00 +0.00000000000000e+00 -3.22163777250438e+01 +3.32136454740254e-03 +0.00000000000000e+00 +9.99994484253560e-01
-3.23164880040837e+01 +9.05378597967569e+00 +0.00000000000000e+00 -3.23164282179243e+01 +3.33167930602747e-03 +0.00000000000000e+00 +9.99994449941099e-01
-3.24165390505360e+01 +9.05345212567347e+00 +0.00000000000000e+00 -3.24164787073664e+01 +3.34199406429792e-03 +0.00000000000000e+00 +9.99994415522244e-01
-3.25165900969883e+01 +9.05311723966832e+00 +0.00000000000000e+00 -3.25165291933596e+01 +3.35230882221280e-03 +0.00000000000000e+00 +9.99994380996994e-01
-3.26166411434405e+01 +9.05278132166202e+00 +0.00000000000000e+00 -3.26165796758932e+01 +3.36262357977101e-03 +0.00000000000000e+00 +9.99994346365349e-01
-3.27166921898928e+01 +9.05244437165280e+00 +0.00000000000000e+00 -3.27166301549565e+01 +3.37293833697145e-03 +0.00000000000000e+00 +9.99994311627309e-01
-3.28167432363451e+01 +9.05210638964064e+00 +0.00000000000000e+00 -3.28166806305389e+01 +3.38325309381303e-03 +0.00000000000000e+00 +9.99994276782874e-01
-3.29167942827974e+01 +9.05176737562733e+00 +0.00000000000000e+00 -3.29167311026298e+01 +3.39356785029464e-03 +0.00000000000000e+00 +9.99994241832044e-01
-3.30168453292496e+01 +9.05142732961110e+00 +0.00000000000000e+00 -3.30167815712184e+01 +3.40388260641519e-03 +0.00000000000000e+00 +9.99994206774820e-01
-3.31168963757019e+01 +9.05108625159371e+00 +0.00000000000000e+00 -3.31168320362943e+01 +3.41419736217359e-03 +0.00000000000000e+00 +9.99994171611201e-01
-3.32169474221542e+01 +9.05074414157340e+00 +0.00000000000000e+00 -3.32168824978466e+01 +3.42451211756873e-03 +0.00000000000000e+00 +9.99994136341187e-01
-3.33169984686064e+01 +9.05040099955194e+00 +0.00000000000000e+00 -3.33169329558648e+01 +3.43482687259951e-03 +0.00000000000000e+00 +9.99994100964778e-01
-3.34170495150587e+01 +9.05005682552755e+00 +0.00000000000000e+00 -3.34169834103383e+01 +3.44514162726485e-03 +0.00000000000000e+00 +9.99994065481975e-01
-3.35171005615110e+01 +9.04971161950200e+00 +0.00000000000000e+00 -3.35170338612564e+01 +3.45545638156364e-03 +0.00000000000000e+00 +9.99994029892776e-01
-3.36171516079632e+01 +9.04936538147353e+00 +0.00000000000000e+00 -3.36170843086084e+01 +3.46577113549479e-03 +0.00000000000000e+00 +9.99993994197183e-01
-3.37172026544155e+01 +9.04901811144391e+00 +0.00000000000000e+00 -3.37171347523837e+01 +3.47608588905719e-03 +0.00000000000000e+00 +9.99993958395195e-01
-3.38172537008678e+01 +9.04866980941136e+00 +0.00000000000000e+00 -3.38171851925716e+01 +3.48640064224976e-03 +0.00000000000000e+00 +9.99993922486813e-01
-3.39173047473201e+01 +9.04832047537944e+00 +0.00000000000000e+00 -3.39172356291615e+01 +3.49671539507138e-03 +0.00000000000000e+00 +9.99993886472035e-01
-3.40173557937723e+01 +9.04797010934281e+00 +0.00000000000000e+00 -3.40172860621429e+01 +3.50703014752098e-03 +0.00000000000000e+00 +9.99993850350863e-01
-3.41174068402246e+01 +9.04761871130681e+00 +0.00000000000000e+00 -3.41173364915049e+01 +3.51734489959744e-03 +0.00000000000000e+00 +9.99993814123296e-01
-3.42174578866769e+01 +9.04726628126788e+00 +0.00000000000000e+00 -3.42173869172370e+01 +3.52765965129967e-03 +0.00000000000000e+00 +9.99993777789334e-01
-3.43175089331291e+01 +9.04691281922780e+00 +0.00000000000000e+00 -3.43174373393285e+01 +3.53797440262657e-03 +0.00000000000000e+00 +9.99993741348978e-01
-3.44175599795814e+01 +9.04655832518479e+00 +0.00000000000000e+00 -3.44174877577688e+01 +3.54828915357705e-03 +0.00000000000000e+00 +9.99993704802226e-01
-3.45176110260337e+01 +9.04620279914240e+00 +0.00000000000000e+00 -3.45175381725472e+01 +3.55860390415001e-03 +0.00000000000000e+00 +9.99993668149081e-01
-3.46176620724860e+01 +9.04584624109709e+00 +0.00000000000000e+00 -3.46175885836532e+01 +3.56891865434435e-03 +0.00000000000000e+00 +9.99993631389540e-01
-3.47177131189382e+01 +9.04548865105063e+00 +0.00000000000000e+00 -3.47176389910760e+01 +3.57923340415897e-03 +0.00000000000000e+00 +9.99993594523604e-01
-3.48177641653905e+01 +9.04513002900124e+00 +0.00000000000000e+00 -3.48176893948049e+01 +3.58954815359278e-03 +0.00000000000000e+00 +9.99993557551274e-01
-3.49178152118428e+01 +9.04477037495248e+00 +0.00000000000000e+00 -3.49177397948295e+01 +3.59986290264468e-03 +0.00000000000000e+00 +9.99993520472549e-01
-3.50178662582951e+01 +9.04440968890078e+00 +0.00000000000000e+00 -3.50177901911389e+01 +3.61017765131356e-03 +0.00000000000000e+00 +9.99993483287429e-01
-3.51179173047473e+01 +9.04404797084794e+00 +0.00000000000000e+00 -3.51178405837226e+01 +3.62049239959835e-03 +0.00000000000000e+00 +9.99993445995915e-01
-3.52179683511996e+01 +9.04368522079394e+00 +0.00000000000000e+00 -3.52178909725700e+01 +3.63080714749792e-03 +0.00000000000000e+00 +9.99993408598006e-01
-3.53180193976519e+01 +9.04332143873880e+00 +0.00000000000000e+00 -3.53179413576703e+01 +3.64112189501120e-03 +0.00000000000000e+00 +9.99993371093702e-01
-3.54180704441041e+01 +9.04295662468250e+00 +0.00000000000000e+00 -3.54179917390130e+01 +3.65143664213708e-03 +0.00000000000000e+00 +9.99993333483003e-01
-3.55181214905564e+01 +9.04259077862505e+00 +0.00000000000000e+00 -3.55180421165873e+01 +3.66175138887446e-03 +0.00000000000000e+00 +9.99993295765910e-01
-3.56181725370087e+01 +9.04222390056468e+00 +0.00000000000000e+00 -3.56180924903827e+01 +3.67206613522225e-03 +0.00000000000000e+00 +9.99993257942422e-01
-3.57182235834610e+01 +9.04185599050493e+00 +0.00000000000000e+00 -3.57181428603885e+01 +3.68238088117934e-03 +0.00000000000000e+00 +9.99993220012539e-01
-3.58182746299132e+01 +9.04148704844402e+00 +0.00000000000000e+00 -3.58181932265940e+01 +3.69269562674465e-03 +0.00000000000000e+00 +9.99993181976261e-01
-3.59183256763655e+01 +9.04111707438197e+00 +0.00000000000000e+00 -3.59182435889886e+01 +3.70301037191707e-03 +0.00000000000000e+00 +9.99993143833589e-01
-3.60183767228178e+01 +9.04074606831877e+00 +0.00000000000000e+00 -3.60182939475617e+01 +3.71332511669551e-03 +0.00000000000000e+00 +9.99993105584522e-01
-3.61184277692700e+01 +9.04037403025441e+00 +0.00000000000000e+00 -3.61183443023027e+01 +3.72363986107887e-03 +0.00000000000000e+00 +9.99993067229061e-01
-3.62184788157223e+01 +9.04000096018890e+00 +0.00000000000000e+00 -3.62183946532008e+01 +3.73395460506605e-03 +0.00000000000000e+00 +9.99993028767205e-01
-3.63185298621746e+01 +9.03962685812402e+00 +0.00000000000000e+00 -3.63184450002454e+01 +3.74426934865596e-03 +0.00000000000000e+00 +9.99992990198954e-01
-3.64185809086269e+01 +9.03925172405621e+00 +0.00000000000000e+00 -3.64184953434259e+01 +3.75458409184749e-03 +0.00000000000000e+00 +9.99992951524308e-01
-3.65186319550791e+01 +9.03887555798903e+00 +0.00000000000000e+00 -3.65185456827316e+01 +3.76489883463955e-03 +0.00000000000000e+00 +9.99992912743268e-01
-3.66186830015314e+01 +9.03849835991892e+00 +0.00000000000000e+00 -3.66185960181520e+01 +3.77521357703104e-03 +0.00000000000000e+00 +9.99992873855833e-01
-3.67187340479837e+01 +9.03812012984943e+00 +0.00000000000000e+00 -3.67186463496763e+01 +3.78552831902087e-03 +0.00000000000000e+00 +9.99992834862003e-01
-3.68187850944359e+01 +9.03774086778057e+00 +0.00000000000000e+00 -3.68186966772939e+01 +3.79584306060794e-03 +0.00000000000000e+00 +9.99992795761779e-01
-3.69188361408882e+01 +9.03736057371056e+00 +0.00000000000000e+00 -3.69187470009941e+01 +3.80615780179114e-03 +0.00000000000000e+00 +9.99992756555160e-01
-3.70188871873405e+01 +9.03697924763939e+00 +0.00000000000000e+00 -3.70187973207664e+01 +3.81647254256939e-03 +0.00000000000000e+00 +9.99992717242147e-01
-3.71189382337928e+01 +9.03659688956530e+00 +0.00000000000000e+00 -3.71188476366000e+01 +3.82678728294158e-03 +0.00000000000000e+00 +9.99992677822738e-01
-3.72189892802450e+01 +9.03621349949361e+00 +0.00000000000000e+00 -3.72188979484844e+01 +3.83710202290661e-03 +0.00000000000000e+00 +9.99992638296936e-01
-3.73190403266973e+01 +9.03582907742077e+00 +0.00000000000000e+00 -3.73189482564088e+01 +3.84741676246340e-03 +0.00000000000000e+00 +9.99992598664738e-01
-3.74190913731496e+01 +9.03544362334678e+00 +0.00000000000000e+00 -3.74189985603627e+01 +3.85773150161084e-03 +0.00000000000000e+00 +9.99992558926146e-01
-3.75191424196018e+01 +9.03505713727341e+00 +0.00000000000000e+00 -3.75190488603354e+01 +3.86804624034784e-03 +0.00000000000000e+00 +9.99992519081159e-01
-3.76191934660541e+01 +9.03466961920067e+00 +0.00000000000000e+00 -3.76190991563162e+01 +3.87836097867329e-03 +0.00000000000000e+00 +9.99992479129778e-01
-3.77192445125064e+01 +9.03428106912500e+00 +0.00000000000000e+00 -3.77191494482945e+01 +3.88867571658611e-03 +0.00000000000000e+00 +9.99992439072002e-01
-3.78192955589587e+01 +9.03389148704995e+00 +0.00000000000000e+00 -3.78191997362597e+01 +3.89899045408518e-03 +0.00000000000000e+00 +9.99992398907831e-01
-3.79193466054109e+01 +9.03350087297554e+00 +0.00000000000000e+00 -3.79192500202010e+01 +3.90930519116943e-03 +0.00000000000000e+00 +9.99992358637266e-01
-3.80193976518632e+01 +9.03310922689997e+00 +0.00000000000000e+00 -3.80193003001080e+01 +3.91961992783774e-03 +0.00000000000000e+00 +9.99992318260306e-01
-3.81194486983155e+01 +9.03271654882502e+00 +0.00000000000000e+00 -3.81193505759699e+01 +3.92993466408902e-03 +0.00000000000000e+00 +9.99992277776952e-01
-3.82194997447677e+01 +9.03232283874715e+00 +0.00000000000000e+00 -3.82194008477760e+01 +3.94024939992217e-03 +0.00000000000000e+00 +9.99992237187203e-01
-3.83195507912200e+01 +9.03192809667345e+00 +0.00000000000000e+00 -3.83194511155158e+01 +3.95056413533610e-03 +0.00000000000000e+00 +9.99992196491059e-01
-3.84196018376723e+01 +9.03153232259683e+00 +0.00000000000000e+00 -3.84195013791785e+01 +3.96087887032970e-03 +0.00000000000000e+00 +9.99992155688521e-01
-3.85196528841246e+01 +9.03113551652083e+00 +0.00000000000000e+00 -3.85195516387536e+01 +3.97119360490189e-03 +0.00000000000000e+00 +9.99992114779588e-01
-3.86197039305768e+01 +9.03073767844546e+00 +0.00000000000000e+00 -3.86196018942304e+01 +3.98150833905156e-03 +0.00000000000000e+00 +9.99992073764260e-01
-3.87197549770291e+01 +9.03033880836894e+00 +0.00000000000000e+00 -3.87196521455982e+01 +3.99182307277762e-03 +0.00000000000000e+00 +9.99992032642538e-01
-3.88198060234814e+01 +9.02993890629304e+00 +0.00000000000000e+00 -3.88197023928465e+01 +4.00213780607896e-03 +0.00000000000000e+00 +9.99991991414422e-01
-3.89198570699336e+01 +9.02953797221777e+00 +0.00000000000000e+00 -3.89197526359645e+01 +4.01245253895450e-03 +0.00000000000000e+00 +9.99991950079911e-01
-3.90199081163859e+01 +9.02913600614312e+00 +0.00000000000000e+00 -3.90198028749416e+01 +4.02276727140312e-03 +0.00000000000000e+00 +9.99991908639005e-01
-3.91199591628382e+01 +9.02873300806732e+00 +0.00000000000000e+00 -3.91198531097672e+01 +4.03308200342375e-03 +0.00000000000000e+00 +9.99991867091705e-01
-3.92200102092905e+01 +9.02832897799392e+00 +0.00000000000000e+00 -3.92199033404306e+01 +4.04339673501527e-03 +0.00000000000000e+00 +9.99991825438010e-01
-3.93200612557427e+01 +9.02792391591937e+00 +0.00000000000000e+00 -3.93199535669213e+01 +4.05371146617660e-03 +0.00000000000000e+00 +9.99991783677921e-01
-3.94201123021950e+01 +9.02751782184545e+00 +0.00000000000000e+00 -3.94200037892284e+01 +4.06402619690662e-03 +0.00000000000000e+00 +9.99991741811437e-01
-3.95201633486473e+01 +9.02711069577037e+00 +0.00000000000000e+00 -3.95200540073414e+01 +4.07434092720426e-03 +0.00000000000000e+00 +9.99991699838558e-01
-3.96202143950995e+01 +9.02670253769770e+00 +0.00000000000000e+00 -3.96201042212497e+01 +4.08465565706840e-03 +0.00000000000000e+00 +9.99991657759285e-01
-3.97202654415518e+01 +9.02629334762565e+00 +0.00000000000000e+00 -3.97201544309426e+01 +4.09497038649795e-03 +0.00000000000000e+00 +9.99991615573618e-01
-3.98203164880041e+01 +9.02588312555423e+00 +0.00000000000000e+00 -3.98202046364094e+01 +4.10528511549182e-03 +0.00000000000000e+00 +9.99991573281556e-01
-3.99203675344564e+01 +9.02547187148165e+00 +0.00000000000000e+00 -3.99202548376396e+01 +4.11559984404891e-03 +0.00000000000000e+00 +9.99991530883099e-01
-4.00204185809086e+01 +9.02505958541148e+00 +0.00000000000000e+00 -4.00203050346224e+01 +4.12591457216811e-03 +0.00000000000000e+00 +9.99991488378248e-01
-4.01204696273609e+01 +9.02464626734016e+00 +0.00000000000000e+00 -4.01203552273473e+01 +4.13622929984833e-03 +0.00000000000000e+00 +9.99991445767002e-01
-4.02205206738132e+01 +9.02423191727124e+00 +0.00000000000000e+00 -4.02204054158035e+01 +4.14654402708848e-03 +0.00000000000000e+00 +9.99991403049362e-01
-4.03205717202654e+01 +9.02381653520294e+00 +0.00000000000000e+00 -4.03204555999805e+01 +4.15685875388746e-03 +0.00000000000000e+00 +9.99991360225327e-01
-4.04206227667177e+01 +9.02340012113527e+00 +0.00000000000000e+00 -4.04205057798675e+01 +4.16717348024416e-03 +0.00000000000000e+00 +9.99991317294898e-01
-4.05206738131700e+01 +9.02298267506822e+00 +0.00000000000000e+00 -4.05205559554540e+01 +4.17748820615750e-03 +0.00000000000000e+00 +9.99991274258074e-01
-4.06207248596223e+01 +9.02256419700180e+00 +0.00000000000000e+00 -4.06206061267293e+01 +4.18780293162637e-03 +0.00000000000000e+00 +9.99991231114856e-01
-4.07207759060745e+01 +9.02214468693778e+00 +0.00000000000000e+00 -4.07206562936827e+01 +4.19811765664968e-03 +0.00000000000000e+00 +9.99991187865244e-01
-4.08208269525268e+01 +9.02172414487261e+00 +0.00000000000000e+00 -4.08207064563037e+01 +4.20843238122633e-03 +0.00000000000000e+00 +9.99991144509236e-01
-4.09208779989791e+01 +9.02130257080984e+00 +0.00000000000000e+00 -4.09207566145815e+01 +4.21874710535522e-03 +0.00000000000000e+00 +9.99991101046835e-01
-4.10209290454313e+01 +9.02087996474769e+00 +0.00000000000000e+00 -4.10208067685055e+01 +4.22906182903525e-03 +0.00000000000000e+00 +9.99991057478039e-01
-4.11209800918836e+01 +9.02045632668617e+00 +0.00000000000000e+00 -4.11208569180651e+01 +4.23937655226533e-03 +0.00000000000000e+00 +9.99991013802848e-01
-4.12210311383359e+01 +9.02003165662705e+00 +0.00000000000000e+00 -4.12209070632496e+01 +4.24969127504437e-03 +0.00000000000000e+00 +9.99990970021263e-01
-4.13210821847882e+01 +9.01960595456856e+00 +0.00000000000000e+00 -4.13209572040485e+01 +4.26000599737125e-03 +0.00000000000000e+00 +9.99990926133284e-01
-4.14211332312404e+01 +9.01917922051069e+00 +0.00000000000000e+00 -4.14210073404509e+01 +4.27032071924489e-03 +0.00000000000000e+00 +9.99990882138910e-01
-4.15211842776927e+01 +9.01875145445523e+00 +0.00000000000000e+00 -4.15210574724464e+01 +4.28063544066418e-03 +0.00000000000000e+00 +9.99990838038141e-01
-4.16212353241450e+01 +9.01832265640038e+00 +0.00000000000000e+00 -4.16211076000242e+01 +4.29095016162804e-03 +0.00000000000000e+00 +9.99990793830978e-01
-4.17212863705973e+01 +9.01789282634794e+00 +0.00000000000000e+00 -4.17211577231737e+01 +4.30126488213536e-03 +0.00000000000000e+00 +9.99990749517421e-01
-4.18213374170495e+01 +9.01746196429613e+00 +0.00000000000000e+00 -4.18212078418842e+01 +4.31157960218504e-03 +0.00000000000000e+00 +9.99990705097469e-01
-4.19213884635018e+01 +9.01703007024494e+00 +0.00000000000000e+00 -4.19212579561452e+01 +4.32189432177599e-03 +0.00000000000000e+00 +9.99990660571123e-01
-4.20214395099541e+01 +9.01659714419615e+00 +0.00000000000000e+00 -4.20213080659460e+01 +4.33220904090711e-03 +0.00000000000000e+00 +9.99990615938383e-01
-4.21214905564063e+01 +9.01616318614799e+00 +0.00000000000000e+00 -4.21213581712758e+01 +4.34252375957731e-03 +0.00000000000000e+00 +9.99990571199248e-01
-4.22215416028586e+01 +9.01572819610401e+00 +0.00000000000000e+00 -4.22214082721242e+01 +4.35283847778548e-03 +0.00000000000000e+00 +9.99990526353718e-01
-4.23215926493109e+01 +9.01529217405887e+00 +0.00000000000000e+00 -4.23214583684804e+01 +4.36315319553053e-03 +0.00000000000000e+00 +9.99990481401794e-01
-4.24216436957632e+01 +9.01485512001791e+00 +0.00000000000000e+00 -4.24215084603338e+01 +4.37346791281135e-03 +0.00000000000000e+00 +9.99990436343476e-01
-4.25216947422154e+01 +9.01441703397580e+00 +0.00000000000000e+00 -4.25215585476737e+01 +4.38378262962686e-03 +0.00000000000000e+00 +9.99990391178763e-01
-4.26217457886677e+01 +9.01397791593787e+00 +0.00000000000000e+00 -4.26216086304895e+01 +4.39409734597596e-03 +0.00000000000000e+00 +9.99990345907656e-01
-4.27217968351200e+01 +9.01353776590056e+00 +0.00000000000000e+00 -4.27216587087706e+01 +4.40441206185755e-03 +0.00000000000000e+00 +9.99990300530155e-01
-4.28218478815722e+01 +9.01309658386566e+00 +0.00000000000000e+00 -4.28217087825063e+01 +4.41472677727052e-03 +0.00000000000000e+00 +9.99990255046259e-01
-4.29218989280245e+01 +9.01265436983316e+00 +0.00000000000000e+00 -4.29217588516860e+01 +4.42504149221379e-03 +0.00000000000000e+00 +9.99990209455969e-01
-4.30219499744768e+01 +9.01221112380305e+00 +0.00000000000000e+00 -4.30218089162989e+01 +4.43535620668625e-03 +0.00000000000000e+00 +9.99990163759284e-01
-4.31220010209290e+01 +9.01176684577358e+00 +0.00000000000000e+00 -4.31218589763346e+01 +4.44567092068682e-03 +0.00000000000000e+00 +9.99990117956205e-01
-4.32220520673813e+01 +9.01132153574828e+00 +0.00000000000000e+00 -4.32219090317823e+01 +4.45598563421438e-03 +0.00000000000000e+00 +9.99990072046732e-01
-4.33221031138336e+01 +9.01087519372183e+00 +0.00000000000000e+00 -4.33219590826314e+01 +4.46630034726785e-03 +0.00000000000000e+00 +9.99990026030864e-01
-4.34221541602859e+01 +9.01042781969956e+00 +0.00000000000000e+00 -4.34220091288712e+01 +4.47661505984612e-03 +0.00000000000000e+00 +9.99989979908602e-01
-4.35222052067381e+01 +9.00997941367969e+00 +0.00000000000000e+00 -4.35220591704911e+01 +4.48692977194810e-03 +0.00000000000000e+00 +9.99989933679945e-01
-4.36222562531904e+01 +9.00952997566222e+00 +0.00000000000000e+00 -4.36221092074805e+01 +4.49724448357270e-03 +0.00000000000000e+00 +9.99989887344895e-01
-4.37223072996427e+01 +9.00907950564715e+00 +0.00000000000000e+00 -4.37221592398286e+01 +4.50755919471880e-03 +0.00000000000000e+00 +9.99989840903449e-01
-4.38223583460950e+01 +9.00862800363448e+00 +0.00000000000000e+00 -4.38222092675250e+01 +4.51787390538533e-03 +0.00000000000000e+00 +9.99989794355610e-01
-4.39224093925472e+01 +9.00817546962244e+00 +0.00000000000000e+00 -4.39222592905588e+01 +4.52818861557117e-03 +0.00000000000000e+00 +9.99989747701376e-01
-4.40224604389995e+01 +9.00772190361458e+00 +0.00000000000000e+00 -4.40223093089196e+01 +4.53850332527523e-03 +0.00000000000000e+00 +9.99989700940748e-01
-4.41225114854518e+01 +9.00726730560912e+00 +0.00000000000000e+00 -4.41223593225965e+01 +4.54881803449642e-03 +0.00000000000000e+00 +9.99989654073725e-01
-4.42225625319040e+01 +9.00681167560606e+00 +0.00000000000000e+00 -4.42224093315791e+01 +4.55913274323364e-03 +0.00000000000000e+00 +9.99989607100309e-01
-4.43226135783563e+01 +9.00635501360362e+00 +0.00000000000000e+00 -4.43224593358565e+01 +4.56944745148578e-03 +0.00000000000000e+00 +9.99989560020497e-01
-4.44226646248086e+01 +9.00589731960714e+00 +0.00000000000000e+00 -4.44225093354183e+01 +4.57976215925175e-03 +0.00000000000000e+00 +9.99989512834292e-01
-4.45227156712608e+01 +9.00543859361129e+00 +0.00000000000000e+00 -4.45225593302537e+01 +4.59007686653046e-03 +0.00000000000000e+00 +9.99989465541692e-01
-4.46227667177131e+01 +9.00497883561961e+00 +0.00000000000000e+00 -4.46226093203522e+01 +4.60039157332081e-03 +0.00000000000000e+00 +9.99989418142698e-01
-4.47228177641654e+01 +9.00451804563033e+00 +0.00000000000000e+00 -4.47226593057029e+01 +4.61070627962170e-03 +0.00000000000000e+00 +9.99989370637310e-01
-4.48228688106177e+01 +9.00405622364346e+00 +0.00000000000000e+00 -4.48227092862954e+01 +4.62102098543202e-03 +0.00000000000000e+00 +9.99989323025527e-01
-4.49229198570699e+01 +9.00359336965898e+00 +0.00000000000000e+00 -4.49227592621190e+01 +4.63133569075070e-03 +0.00000000000000e+00 +9.99989275307350e-01
-4.50229709035222e+01 +9.00312948367869e+00 +0.00000000000000e+00 -4.50228092331630e+01 +4.64165039557662e-03 +0.00000000000000e+00 +9.99989227482779e-01
-4.51230219499745e+01 +9.00266456570080e+00 +0.00000000000000e+00 -4.51228591994167e+01 +4.65196509990868e-03 +0.00000000000000e+00 +9.99989179551814e-01
-4.52230729964268e+01 +9.00219861572530e+00 +0.00000000000000e+00 -4.52229091608696e+01 +4.66227980374581e-03 +0.00000000000000e+00 +9.99989131514454e-01
-4.53231240428790e+01 +9.00173163375399e+00 +0.00000000000000e+00 -4.53229591175110e+01 +4.67259450708688e-03 +0.00000000000000e+00 +9.99989083370700e-01
-4.54231750893313e+01 +9.00126361978508e+00 +0.00000000000000e+00 -4.54230090693303e+01 +4.68290920993082e-03 +0.00000000000000e+00 +9.99989035120551e-01
-4.55232261357836e+01 +9.00079457382034e+00 +0.00000000000000e+00 -4.55230590163167e+01 +4.69322391227651e-03 +0.00000000000000e+00 +9.99988986764009e-01
-4.56232771822358e+01 +9.00032449585801e+00 +0.00000000000000e+00 -4.56231089584597e+01 +4.70353861412286e-03 +0.00000000000000e+00 +9.99988938301072e-01
-4.57233282286881e+01 +8.99985338589985e+00 +0.00000000000000e+00 -4.57231588957486e+01 +4.71385331546879e-03 +0.00000000000000e+00 +9.99988889731741e-01
-4.58233792751404e+01 +8.99938124394410e+00 +0.00000000000000e+00 -4.58232088281728e+01 +4.72416801631317e-03 +0.00000000000000e+00 +9.99988841056016e-01
-4.59234303215926e+01 +8.99890806999252e+00 +0.00000000000000e+00 -4.59232587557215e+01 +4.73448271665493e-03 +0.00000000000000e+00 +9.99988792273896e-01
-4.60234813680449e+01 +8.99843386404512e+00 +0.00000000000000e+00 -4.60233086783843e+01 +4.74479741649296e-03 +0.00000000000000e+00 +9.99988743385383e-01
-4.61235324144972e+01 +8.99795862609835e+00 +0.00000000000000e+00 -4.61233585961504e+01 +4.75511211582617e-03 +0.00000000000000e+00 +9.99988694390475e-01
-4.62235834609495e+01 +8.99748235615753e+00 +0.00000000000000e+00 -4.62234085090092e+01 +4.76542681465345e-03 +0.00000000000000e+00 +9.99988645289172e-01
-4.63236345074017e+01 +8.99700505421911e+00 +0.00000000000000e+00 -4.63234584169500e+01 +4.77574151297372e-03 +0.00000000000000e+00 +9.99988596081476e-01
-4.64236855538540e+01 +8.99652672028665e+00 +0.00000000000000e+00 -4.64235083199622e+01 +4.78605621078587e-03 +0.00000000000000e+00 +9.99988546767385e-01
-4.65237366003063e+01 +8.99604735435481e+00 +0.00000000000000e+00 -4.65235582180352e+01 +4.79637090808880e-03 +0.00000000000000e+00 +9.99988497346901e-01
-4.66237876467586e+01 +8.99556695642893e+00 +0.00000000000000e+00 -4.66236081111582e+01 +4.80668560488142e-03 +0.00000000000000e+00 +9.99988447820021e-01
-4.67238386932108e+01 +8.99508552650545e+00 +0.00000000000000e+00 -4.67236579993208e+01 +4.81700030116263e-03 +0.00000000000000e+00 +9.99988398186748e-01
-4.68238897396631e+01 +8.99460306458614e+00 +0.00000000000000e+00 -4.68237078825121e+01 +4.82731499693134e-03 +0.00000000000000e+00 +9.99988348447081e-01
-4.69239407861154e+01 +8.99411957067102e+00 +0.00000000000000e+00 -4.69237577607216e+01 +4.83762969218644e-03 +0.00000000000000e+00 +9.99988298601019e-01
-4.70239918325676e+01 +8.99363504476007e+00 +0.00000000000000e+00 -4.70238076339387e+01 +4.84794438692684e-03 +0.00000000000000e+00 +9.99988248648564e-01
-4.71240428790199e+01 +8.99314948685330e+00 +0.00000000000000e+00 -4.71238575021526e+01 +4.85825908115144e-03 +0.00000000000000e+00 +9.99988198589714e-01
-4.72240939254722e+01 +8.99266289695070e+00 +0.00000000000000e+00 -4.72239073653528e+01 +4.86857377485914e-03 +0.00000000000000e+00 +9.99988148424469e-01
-4.73241449719245e+01 +8.99217527505229e+00 +0.00000000000000e+00 -4.73239572235285e+01 +4.87888846804885e-03 +0.00000000000000e+00 +9.99988098152831e-01
-4.74241960183767e+01 +8.99168662115805e+00 +0.00000000000000e+00 -4.74240070766692e+01 +4.88920316071947e-03 +0.00000000000000e+00 +9.99988047774799e-01
-4.75242470648290e+01 +8.99119693526622e+00 +0.00000000000000e+00 -4.75240569247643e+01 +4.89951785286990e-03 +0.00000000000000e+00 +9.99987997290372e-01
-4.76242981112813e+01 +8.99070621738033e+00 +0.00000000000000e+00 -4.76241067678029e+01 +4.90983254449904e-03 +0.00000000000000e+00 +9.99987946699551e-01
-4.77243491577335e+01 +8.99021446749863e+00 +0.00000000000000e+00 -4.77241566057746e+01 +4.92014723560580e-03 +0.00000000000000e+00 +9.99987896002337e-01
-4.78244002041858e+01 +8.98972168562110e+00 +0.00000000000000e+00 -4.78242064386687e+01 +4.93046192618908e-03 +0.00000000000000e+00 +9.99987845198728e-01
-4.79244512506381e+01 +8.98922787174953e+00 +0.00000000000000e+00 -4.79242562664744e+01 +4.94077661624778e-03 +0.00000000000000e+00 +9.99987794288725e-01
