fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
-20.000	0.000	-739.500	1.1324638464e-04  -5.4266739643e-03  -3.6163568208e-04
-18.000	0.000	-739.500	1.1204771476e-04  -5.4719166755e-03  -3.6380534437e-04
-16.000	0.000	-739.500	1.1129389286e-04  -5.5132390450e-03  -3.6549183101e-04
-14.000	0.000	-739.500	1.1201421156e-04  -5.5501025134e-03  -3.6702651534e-04
-12.000	0.000	-739.500	1.1128086384e-04  -5.5829657847e-03  -3.6851306724e-04
-10.000	0.000	-739.500	1.1138695729e-04  -5.6121538518e-03  -3.6996814792e-04
-8.000	0.000	-739.500	1.1026646153e-04  -5.6368718752e-03  -3.7175089944e-04
-6.000	0.000	-739.500	1.1051215163e-04  -5.6583529704e-03  -3.7255619219e-04
-4.000	0.000	-739.500	1.1024040349e-04  -5.6729089333e-03  -3.7315044269e-04
-2.000	0.000	-739.500	1.1046189684e-04  -5.6849559519e-03  -3.7400757037e-04
0.000	0.000	-739.500	1.1038000014e-04  -5.6922376476e-03  -3.7503501284e-04
2.000	0.000	-739.500	1.0970621365e-04  -5.6954634333e-03  -3.7587918179e-04
4.000	0.000	-739.500	1.0914968835e-04  -5.6944327418e-03  -3.7697882291e-04
6.000	0.000	-739.500	1.0903056587e-04  -5.6880925967e-03  -3.7649564727e-04
8.000	0.000	-739.500	1.0837166969e-04  -5.6788089454e-03  -3.7594767795e-04
10.000	0.000	-739.500	1.0775744444e-04  -5.6644461210e-03  -3.7552929597e-04
12.000	0.000	-739.500	1.0632239090e-04  -5.6468147976e-03  -3.7467772204e-04
14.000	0.000	-739.500	1.0442573778e-04  -5.6254488428e-03  -3.7307269029e-04
16.000	0.000	-739.500	1.0396599949e-04  -5.5995515598e-03  -3.7140101363e-04
18.000	0.000	-739.500	1.0117406653e-04  -5.5695760816e-03  -3.7022176885e-04
20.000	0.000	-739.500	9.8966578204e-05  -5.5366218123e-03  -3.6844086858e-04
22.000	0.000	-739.500	9.6861460753e-05  -5.4991269293e-03  -3.6611385023e-04
24.000	0.000	-739.500	9.3486944452e-05  -5.4590042475e-03  -3.6362021960e-04
26.000	0.000	-739.500	9.0972343501e-05  -5.4152769313e-03  -3.6113954770e-04
28.000	0.000	-739.500	8.6427076645e-05  -5.3686748217e-03  -3.5759440837e-04
30.000	0.000	-739.500	8.0779926916e-05  -5.3183640801e-03  -3.5519519137e-04
32.000	0.000	-739.500	7.5097412702e-05  -5.2649798352e-03  -3.5107246277e-04
34.000	0.000	-739.500	6.9200850295e-05  -5.2095694923e-03  -3.4786980427e-04
36.000	0.000	-739.500	6.2891081810e-05  -5.1508349374e-03  -3.4397292789e-04
38.000	0.000	-739.500	5.4919182571e-05  -5.0904661331e-03  -3.4048887974e-04
40.000	0.000	-739.500	4.7689937499e-05  -5.0273339615e-03  -3.3531279120e-04
42.000	0.000	-739.500	3.9232241925e-05  -4.9621014078e-03  -3.3152143594e-04
44.000	0.000	-739.500	2.9278070285e-05  -4.8943951947e-03  -3.2657860461e-04
46.000	0.000	-739.500	1.9029815041e-05  -4.8253592968e-03  -3.2235405739e-04
48.000	0.000	-739.500	7.4879641931e-06  -4.7539593085e-03  -3.1796660037e-04
50.000	0.000	-739.500	-4.6923086579e-06  -4.6814747728e-03  -3.1287937172e-04
-50.000	0.000	-737.500	1.3993540243e-04  -4.6543592311e-03  -3.4546133103e-04
-48.000	0.000	-737.500	1.3814112018e-04  -4.7500148245e-03  -3.4778649812e-04
-46.000	0.000	-737.500	1.3594666088e-04  -4.8436740336e-03  -3.5165745704e-04
-44.000	0.000	-737.500	1.3400347554e-04  -4.9351530053e-03  -3.5432880745e-04
