nMed	DataHora	Tensao
274	14/03/2017 19:20:38	9.905155
275	14/03/2017 19:20:40	9.905392
276	14/03/2017 19:20:41	9.912825
277	14/03/2017 19:20:43	9.904405
278	14/03/2017 19:20:44	9.905460
279	14/03/2017 19:20:46	9.907819
280	14/03/2017 19:20:47	9.906973
281	14/03/2017 19:20:49	9.906451
282	14/03/2017 19:20:50	9.903948
283	14/03/2017 19:20:52	9.903863
284	14/03/2017 19:20:53	9.902773
285	14/03/2017 19:20:55	9.905502
286	14/03/2017 19:20:56	9.906409
287	14/03/2017 19:20:58	9.906091
288	14/03/2017 19:20:59	9.904519
289	14/03/2017 19:21:01	9.905314
290	14/03/2017 19:21:03	9.905910
291	14/03/2017 19:21:04	9.906236
292	14/03/2017 19:21:06	9.903065
293	14/03/2017 19:21:07	9.903575
294	14/03/2017 19:21:09	9.903707
295	14/03/2017 19:21:10	9.904823
296	14/03/2017 19:21:12	9.907447
297	14/03/2017 19:21:13	9.907160
298	14/03/2017 19:21:15	9.906625
299	14/03/2017 19:21:16	9.909428
300	14/03/2017 19:21:18	9.904822
301	14/03/2017 19:21:19	9.904701
302	14/03/2017 19:21:21	9.905871
303	14/03/2017 19:21:22	9.903780
304	14/03/2017 19:21:24	9.904432
305	14/03/2017 19:21:25	9.903838
306	14/03/2017 19:21:27	9.904467
307	14/03/2017 19:21:28	9.905607
308	14/03/2017 19:21:30	9.906629
309	14/03/2017 19:21:32	9.907524
310	14/03/2017 19:21:33	9.906700
311	14/03/2017 19:21:35	9.904700
312	14/03/2017 19:21:36	9.905204
313	14/03/2017 19:21:38	9.904324
314	14/03/2017 19:21:39	9.903006
315	14/03/2017 19:21:41	9.903075
316	14/03/2017 19:21:42	9.909385
317	14/03/2017 19:21:44	9.904205
318	14/03/2017 19:21:45	9.905152
319	14/03/2017 19:21:47	9.907935
320	14/03/2017 19:21:48	9.907858
321	14/03/2017 19:21:50	9.907151
322	14/03/2017 19:21:51	9.904616
323	14/03/2017 19:21:53	9.904386
324	14/03/2017 19:21:54	9.901549
325	14/03/2017 19:21:56	9.903852
326	14/03/2017 19:21:58	9.904883
327	14/03/2017 19:21:59	9.906580
328	14/03/2017 19:22:01	9.904255
329	14/03/2017 19:22:02	9.904789
330	14/03/2017 19:22:04	9.906196
331	14/03/2017 19:22:05	9.907804
332	14/03/2017 19:22:07	9.907339
333	14/03/2017 19:22:08	9.906367
334	14/03/2017 19:22:10	9.904361
335	14/03/2017 19:22:11	9.905087
336	14/03/2017 19:22:13	9.903403
337	14/03/2017 19:22:14	9.904347
338	14/03/2017 19:22:16	9.904959
339	14/03/2017 19:22:17	9.911919
340	14/03/2017 19:22:19	9.904226
341	14/03/2017 19:22:20	9.905348
342	14/03/2017 19:22:22	9.907979
343	14/03/2017 19:22:23	9.907761
344	14/03/2017 19:22:25	9.907041
345	14/03/2017 19:22:27	9.904471
346	14/03/2017 19:22:28	9.904054
