X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-10.000	0.000	-739.500	-1.8025277563e-04, -5.4984843721e-03, 3.3242484481e-04
-8.000	0.000	-739.500	-1.9696342503e-04, -5.5223796995e-03, 3.2786522175e-04
-6.000	0.000	-739.500	-2.1234511434e-04, -5.5434670891e-03, 3.2334632615e-04
-4.000	0.000	-739.500	-2.2618193408e-04, -5.5585616115e-03, 3.1831278368e-04
-2.000	0.000	-739.500	-2.4119694952e-04, -5.5707701980e-03, 3.1293305790e-04
0.000	0.000	-739.500	-2.5355032222e-04, -5.5795078614e-03, 3.0721825629e-04
2.000	0.000	-739.500	-2.6658120398e-04, -5.5830623540e-03, 3.0166081073e-04
4.000	0.000	-739.500	-2.7810444194e-04, -5.5821338032e-03, 2.9475010311e-04
6.000	0.000	-739.500	-2.8942479944e-04, -5.5772143408e-03, 2.8858359707e-04
8.000	0.000	-739.500	-2.9855069763e-04, -5.5686958154e-03, 2.8099533279e-04
10.000	0.000	-739.500	-3.0892924308e-04, -5.5559672405e-03, 2.7287390919e-04
12.000	0.000	-739.500	-3.1831944426e-04, -5.5392347543e-03, 2.6580954801e-04
14.000	0.000	-739.500	-3.2690184618e-04, -5.5182365056e-03, 2.5794915033e-04
16.000	0.000	-739.500	-3.3495005825e-04, -5.4942520374e-03, 2.4988326415e-04
18.000	0.000	-739.500	-3.4265951579e-04, -5.4668727873e-03, 2.4236534729e-04
20.000	0.000	-739.500	-3.4862308459e-04, -5.4355936237e-03, 2.3272590058e-04
22.000	0.000	-739.500	-3.5485654024e-04, -5.4002344077e-03, 2.2516355378e-04
24.000	0.000	-739.500	-3.6130404408e-04, -5.3620746824e-03, 2.1702917144e-04
26.000	0.000	-739.500	-3.6664594248e-04, -5.3203270366e-03, 2.0780995795e-04
28.000	0.000	-739.500	-3.7289242715e-04, -5.2757937383e-03, 1.9996437025e-04
30.000	0.000	-739.500	-3.7846884791e-04, -5.2277040902e-03, 1.9081180168e-04
32.000	0.000	-739.500	-3.8448453279e-04, -5.1776180579e-03, 1.8261447692e-04
34.000	0.000	-739.500	-3.8972406031e-04, -5.1235745419e-03, 1.7435976348e-04
36.000	0.000	-739.500	-3.9482585247e-04, -5.0684594782e-03, 1.6529420355e-04
38.000	0.000	-739.500	-4.0026267658e-04, -5.0104473359e-03, 1.5733198725e-04
40.000	0.000	-739.500	-4.0519509147e-04, -4.9487284186e-03, 1.4863297436e-04
42.000	0.000	-739.500	-4.1051093182e-04, -4.8854885351e-03, 1.4011908624e-04
44.000	0.000	-739.500	-4.1633676526e-04, -4.8211603899e-03, 1.3230682100e-04
46.000	0.000	-739.500	-4.2184990221e-04, -4.7539704511e-03, 1.2418724864e-04
48.000	0.000	-739.500	-4.2806846755e-04, -4.6857219643e-03, 1.1515315993e-04
50.000	0.000	-739.500	-4.3522698366e-04, -4.6155699483e-03, 1.0726129103e-04
-50.000	0.000	-737.500	2.4138121710e-04, -4.5659611911e-03, 3.1145391100e-04
-48.000	0.000	-737.500	2.1821375741e-04, -4.6561309061e-03, 3.1789255046e-04
-46.000	0.000	-737.500	1.9466473356e-04, -4.7464139044e-03, 3.2376285688e-04
-44.000	0.000	-737.500	1.7070622620e-04, -4.8367507585e-03, 3.2825213252e-04
-42.000	0.000	-737.500	1.4834470450e-04, -4.9232731259e-03, 3.3340970858e-04
-40.000	0.000	-737.500	1.2501903528e-04, -5.0066235635e-03, 3.3829515123e-04
-38.000	0.000	-737.500	1.0184413044e-04, -5.0873276313e-03, 3.4213093644e-04
-36.000	0.000	-737.500	7.8691561063e-05, -5.1666017307e-03, 3.4546503352e-04
-34.000	0.000	-737.500	5.5993146115e-05, -5.2422693387e-03, 3.4832335995e-04
-32.000	0.000	-737.500	3.3289147302e-05, -5.3144363100e-03, 3.5101137159e-04
-30.000	0.000	-737.500	1.0721022558e-05, -5.3842651904e-03, 3.5237944364e-04
-28.000	0.000	-737.500	-1.1273825284e-05, -5.4516018402e-03, 3.5325508379e-04
-26.000	0.000	-737.500	-3.3112324881e-05, -5.5142418799e-03, 3.5417145140e-04
-24.000	0.000	-737.500	-5.4502253916e-05, -5.5727870104e-03, 3.5401039285e-04
-22.000	0.000	-737.500	-7.6582721036e-05, -5.6287136275e-03, 3.5252013846e-04
-20.000	0.000	-737.500	-9.6518983644e-05, -5.6795127869e-03, 3.5184813555e-04
-18.000	0.000	-737.500	-1.1611835301e-04, -5.7266330279e-03, 3.4998392913e-04
-16.000	0.000	-737.500	-1.3578286748e-04, -5.7702154901e-03, 3.4735885991e-04
-14.000	0.000	-737.500	-1.5350791918e-04, -5.8093780504e-03, 3.4422284632e-04
-12.000	0.000	-737.500	-1.7121249671e-04, -5.8443379895e-03, 3.4047406976e-04
-10.000	0.000	-737.500	-1.8769979147e-04, -5.8752661609e-03, 3.3663643330e-04
-8.000	0.000	-737.500	-2.0511214669e-04, -5.9009833050e-03, 3.3186947050e-04
-6.000	0.000	-737.500	-2.2031515229e-04, -5.9230865292e-03, 3.2724690503e-04
-4.000	0.000	-737.500	-2.3486856815e-04, -5.9393788823e-03, 3.2177646811e-04
-2.000	0.000	-737.500	-2.4999898350e-04, -5.9521631702e-03, 3.1599131908e-04
0.000	0.000	-737.500	-2.6270413974e-04, -5.9610939722e-03, 3.0940087732e-04
2.000	0.000	-737.500	-2.7581319562e-04, -5.9647246060e-03, 3.0351946341e-04
4.000	0.000	-737.500	-2.8737365936e-04, -5.9632017826e-03, 2.9609966268e-04
6.000	0.000	-737.500	-2.9847252351e-04, -5.9576044782e-03, 2.8983689175e-04
8.000	0.000	-737.500	-3.0782177634e-04, -5.9482595425e-03, 2.8161179827e-04
10.000	0.000	-737.500	-3.1778339314e-04, -5.9338428621e-03, 2.7308865392e-04
12.000	0.000	-737.500	-3.2716987174e-04, -5.9149134247e-03, 2.6561886950e-04
14.000	0.000	-737.500	-3.3615989587e-04, -5.8919002207e-03, 2.5685876544e-04
16.000	0.000	-737.500	-3.4342822800e-04, -5.8654996632e-03, 2.4852074585e-04
18.000	0.000	-737.500	-3.5081196003e-04, -5.8352066206e-03, 2.4102504397e-04
20.000	0.000	-737.500	-3.5736183475e-04, -5.8006663864e-03, 2.3081171047e-04
22.000	0.000	-737.500	-3.6281727175e-04, -5.7617248212e-03, 2.2268288187e-04
24.000	0.000	-737.500	-3.6891299204e-04, -5.7200236030e-03, 2.1433930855e-04
26.000	0.000	-737.500	-3.7397383585e-04, -5.6743351874e-03, 2.0506085513e-04
28.000	0.000	-737.500	-3.8002674650e-04, -5.6252315619e-03, 1.9631185856e-04
30.000	0.000	-737.500	-3.8587863798e-04, -5.5729615780e-03, 1.8724074489e-04
32.000	0.000	-737.500	-3.9101207205e-04, -5.5180117963e-03, 1.7878979920e-04
34.000	0.000	-737.500	-3.9621065121e-04, -5.4590098188e-03, 1.7006116635e-04
36.000	0.000	-737.500	-4.0079128255e-04, -5.3988527241e-03, 1.6101041640e-04
38.000	0.000	-737.500	-4.0590796502e-04, -5.3354457014e-03, 1.5263722311e-04
40.000	0.000	-737.500	-4.1117355058e-04, -5.2681889069e-03, 1.4389563153e-04
42.000	0.000	-737.500	-4.1639446521e-04, -5.1993870038e-03, 1.3514293246e-04
44.000	0.000	-737.500	-4.2179592484e-04, -5.1291755605e-03, 1.2749357701e-04
46.000	0.000	-737.500	-4.2737606818e-04, -5.0563066048e-03, 1.1908891251e-04
48.000	0.000	-737.500	-4.3334149826e-04, -4.9820095378e-03, 1.1016774990e-04
50.000	0.000	-737.500	-4.4066194648e-04, -4.9060856498e-03, 1.0188526775e-04
-50.000	0.000	-735.500	2.4999339963e-04, -4.8670568009e-03, 3.1882928179e-04
-48.000	0.000	-735.500	2.2594927300e-04, -4.9643039304e-03, 3.2509945771e-04
-46.000	0.000	-735.500	2.0208941394e-04, -5.0618723385e-03, 3.3114563266e-04
-44.000	0.000	-735.500	1.7643155005e-04, -5.1595688867e-03, 3.3559418085e-04
-42.000	0.000	-735.500	1.5303142929e-04, -5.2525911099e-03, 3.4082025307e-04
-40.000	0.000	-735.500	1.2877139317e-04, -5.3429391066e-03, 3.4546318227e-04
-38.000	0.000	-735.500	1.0463792469e-04, -5.4297734671e-03, 3.4893797418e-04
-36.000	0.000	-735.500	8.0508178775e-05, -5.5159225569e-03, 3.5268119701e-04
-34.000	0.000	-735.500	5.6592481057e-05, -5.5972803245e-03, 3.5523036508e-04
-32.000	0.000	-735.500	3.3043457201e-05, -5.6755311609e-03, 3.5769437575e-04
-30.000	0.000	-735.500	9.8406330323e-06, -5.7511226277e-03, 3.5879031438e-04
-28.000	0.000	-735.500	-1.3112778459e-05, -5.8235533075e-03, 3.5981775685e-04
-26.000	0.000	-735.500	-3.6114583455e-05, -5.8915195148e-03, 3.6014172519e-04
-24.000	0.000	-735.500	-5.8070344236e-05, -5.9545328320e-03, 3.5961782210e-04
-22.000	0.000	-735.500	-8.0876713925e-05, -6.0149090647e-03, 3.5799798037e-04
-20.000	0.000	-735.500	-1.0144767596e-04, -6.0698885600e-03, 3.5737781239e-04
-18.000	0.000	-735.500	-1.2183809299e-04, -6.1209829985e-03, 3.5499895911e-04
-16.000	0.000	-735.500	-1.4249095173e-04, -6.1678822444e-03, 3.5188516050e-04
-14.000	0.000	-735.500	-1.6055475797e-04, -6.2101183079e-03, 3.4830669872e-04
-12.000	0.000	-735.500	-1.7799503251e-04, -6.2478806135e-03, 3.4445240104e-04
-10.000	0.000	-735.500	-1.9509469123e-04, -6.2807921695e-03, 3.4025747378e-04
-8.000	0.000	-735.500	-2.1330181670e-04, -6.3084666988e-03, 3.3509249273e-04
-6.000	0.000	-735.500	-2.2874678982e-04, -6.3321113174e-03, 3.2989048672e-04
-4.000	0.000	-735.500	-2.4371155047e-04, -6.3493173644e-03, 3.2393502291e-04
-2.000	0.000	-735.500	-2.5897411731e-04, -6.3627943513e-03, 3.1759264833e-04
0.000	0.000	-735.500	-2.7198452489e-04, -6.3719907189e-03, 3.1080597431e-04
2.000	0.000	-735.500	-2.8491303578e-04, -6.3754969268e-03, 3.0427292122e-04
4.000	0.000	-735.500	-2.9609379663e-04, -6.3731569787e-03, 2.9631070491e-04
6.000	0.000	-735.500	-3.0814377928e-04, -6.3670991130e-03, 2.8937963357e-04
8.000	0.000	-735.500	-3.1706493572e-04, -6.3562554963e-03, 2.8064914948e-04
10.000	0.000	-735.500	-3.2690929133e-04, -6.3404162761e-03, 2.7198531030e-04
12.000	0.000	-735.500	-3.3607986045e-04, -6.3192917445e-03, 2.6363433198e-04
